# height, label
11.8618 0.0000
11.7245 0.0000
11.6992 0.0000
11.9811 0.0000
11.7360 0.0000
11.9282 0.0000
11.8249 0.0000
11.8362 0.0000
11.9671 0.0000
12.0323 0.0000
12.1122 0.0000
12.1435 0.0000
12.0143 0.0000
12.0961 0.0000
12.3381 0.0000
12.2453 0.0000
12.2342 0.0000
12.3993 0.0000
12.4446 0.0000
12.4737 0.0000
12.3302 0.0000
12.3864 0.0000
12.5401 0.0000
12.6242 0.0000
12.4256 0.0000
12.5397 0.0000
12.6023 0.0000
12.7661 0.0000
12.5971 0.0000
13.0160 0.0000
12.7946 0.0000
12.8877 0.0000
13.0887 0.0000
12.9687 0.0000
13.0214 0.0000
12.9688 0.0000
13.0736 0.0000
12.9612 0.0000
13.0993 0.0000
13.1507 0.0000
13.0881 0.0000
13.3278 0.0000
13.3125 0.0000
13.1213 0.0000
13.4264 0.0000
13.2950 0.0000
13.4859 0.0000
13.3876 0.0000
13.4720 0.0000
13.5898 0.0000
13.7820 0.0000
13.4770 0.0000
13.6336 0.0000
13.6742 0.0000
13.8577 0.0000
13.7640 0.0000
13.8702 0.0000
14.0019 0.0000
13.9854 0.0000
13.9072 0.0000
13.9457 0.0000
14.0024 0.0000
14.0847 0.0000
14.0235 0.0000
14.1439 0.0000
14.2471 0.0000
14.1827 0.0000
14.2218 0.0000
14.3382 0.0000
14.4296 0.0000
14.2558 0.0000
14.3313 0.0000
14.5982 0.0000
14.5075 0.0000
14.4399 0.0000
14.6019 0.0000
14.7882 0.0000
14.6083 0.0000
14.6141 0.0000
14.7251 0.0000
14.9493 0.0000
14.7645 0.0000
14.9231 0.0000
15.0106 1.0000
15.0121 1.0000
14.9560 0.0000
15.0953 1.0000
15.0870 1.0000
15.1914 1.0000
15.1896 1.0000
15.2048 1.0000
15.0574 1.0000
15.3351 1.0000
15.2993 1.0000
15.1436 1.0000
15.3865 1.0000
15.4605 1.0000
15.4591 1.0000
15.2674 1.0000
15.4788 1.0000
15.4950 1.0000
15.5996 1.0000
15.4421 1.0000
15.7396 1.0000
15.8049 1.0000
15.8490 1.0000
15.8264 1.0000
15.8620 1.0000
16.0124 1.0000
15.9973 1.0000
15.9505 1.0000
16.0621 1.0000
16.1417 1.0000
16.2323 1.0000
16.1995 1.0000
16.1147 1.0000
16.1842 1.0000
16.2951 1.0000
16.3438 1.0000
16.4548 1.0000
16.2064 1.0000
16.3625 1.0000
16.3594 1.0000
16.6214 1.0000
16.6305 1.0000
16.6273 1.0000
16.7147 1.0000
16.6180 1.0000
16.7668 1.0000
16.7609 1.0000
16.8042 1.0000
16.8227 1.0000
16.9699 1.0000
17.0209 1.0000
16.8134 1.0000
16.9430 1.0000
17.0435 1.0000
17.1323 1.0000
16.9557 1.0000
17.0637 1.0000
17.1648 1.0000
17.4091 1.0000
17.1894 1.0000
17.2766 1.0000
17.3525 1.0000
17.3854 1.0000
17.4511 1.0000
17.4729 1.0000
17.4971 1.0000
17.5840 1.0000
17.6233 1.0000
17.6735 1.0000
17.7158 1.0000
17.6005 1.0000
17.7736 1.0000
17.8115 1.0000
17.9140 1.0000
17.9451 1.0000
18.0706 1.0000
17.8778 1.0000
17.9840 1.0000
18.0585 1.0000
18.0148 1.0000
18.0906 1.0000
18.1209 1.0000
18.1503 1.0000
18.4634 1.0000
18.2703 1.0000
18.4641 1.0000
18.2734 1.0000
18.4262 1.0000
18.3757 1.0000
18.5122 1.0000
18.6840 1.0000
18.7516 1.0000
18.6799 1.0000
18.6848 1.0000
18.6803 1.0000
18.7585 1.0000
18.8962 1.0000
18.6396 1.0000
18.8103 1.0000
18.7845 1.0000
19.0204 1.0000
18.8382 1.0000
19.0839 1.0000
18.9271 1.0000
18.9748 1.0000
19.2698 1.0000
19.2623 1.0000
19.1128 1.0000
19.0697 1.0000
19.1885 1.0000
19.3800 1.0000
19.3588 1.0000
19.3087 1.0000
19.4951 1.0000
19.6177 1.0000
19.4103 1.0000
19.5539 1.0000
19.5225 1.0000
19.7502 1.0000
19.6932 1.0000
19.6575 1.0000
19.5991 1.0000
19.8710 1.0000
19.8141 1.0000
19.8957 1.0000
19.9042 1.0000
20.0024 1.0000
19.8308 1.0000
